year,Council,Committee,Session,Agenda item,Agenda detail,cosponsored countries,body title number,body title detail,body text,date,file,filecountry,footnote,scanned
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,N/A,United Nations Averc37/L.2,"O, \, General Assembly Distr.: Limited ( iy 2 March 2018 S274 Oriocinal: Enolich Distr.: Limited 2 March 2018 Human Rights Council Thirty-seventh session 26 February—23 March 2018 Agenda item | Organizational and procedural matters Russian Federation,* Venezuela (Bolivarian Republic of)",N/A,"37/... The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic","After paragraph 1, insert a new paragraph reading 1 bis. Condemns all terrorist acts in the Syrian Arab Republic, in particular in Eastern Ghouta, and calls upon all States not to render any support to terrorists in the Syrian Arab Republic; of a Please recycle it: a GE.18-03279(E)",03/02/2018,2018_1477072,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council,yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,N/A,United Nations Averc37/L.3,N/A,N/A,"37/... The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic","After paragraph 2, insert a new paragraph reading 2 bis. Expresses its concern at the violence committed by armed groups in Eastern Ghouta, in particular the deliberate shelling of civilians, civilian objects and diplomatic premises in Damascus; 1 : irda; 2a bak ' J Please recycle GE.18-03280(E)",03/02/2018,2018_1477073,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council 1 : irda; 2a bak ' J Please recycle,yes
2018,N/A,Commission On Human Rights,Thirty-seventh session,N/A,United Nations Avarc37/L.4,N/A,N/A,"37/... The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic","After paragraph 4, insert a new paragraph reading 4bis. Calls upon armed groups in Eastern Ghouta to ensure the safe exit of civilians through humanitarian corridors; Please recycle ‘ Ope. GE.18-03281(E)",03/02/2018,2018_1477074,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council,yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,N/A,United Nations Averc37/L.5,N/A,N/A,"37/... The deteriorating situation of human rights in Eastern Ghouta, in the Syrian Arab Republic",Delete paragraph 7. Please recycle GE.18-03282(E) 803282*,03/02/2018,2018_1477075,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council,yes
2018,General Assembly,N/A,Seventy-second session,99 (cc),General and complete disarmament: follow-up to the 2013 high-level meeting of the General Assembly on,N/A,N/A,Organizational meeting of the United Nations high-level international conference on nuclear disarmament,"The General Assembly, recalling its resolution 72/251 of 24 December 2017, in which it decided that the United Nations high-level international conference on nuclear disarmament should include a one-day organizational meeting, to be held in New York on 28 March 2018, decides to postpone the one-day organizational meeting of the conference to 10 May 2018. ment gh a, or Tt - re Please recycle OQ ere ee 1 L:] a 18-04519 iit 230318 A A AAA",03/22/2018,2018_1478483,"Venezuela, Bolivarian Republic of","* In order for the General Assembly to take action on the present proposal, it will be necessary to reopen consideration of sub-item (cc) of agenda item 99 and to consider it directly in plenary meeting.",yes
2018,General Assembly,N/A,Seventy-second session,11,Sport for development and peace: building a peaceful and better world through sport and the Olympic ideal,"Belarus, Ecuador, Russian Federation, Tajikistan, Turkey, Turkmenistan and Viet Nam",N/A,World Bicycle Day,"Addendum Add the following countries to the list of sponsors of the resolution: Afghanistan, Angola, Argentina, Australia, Azerbaijan, Bahrain, Bangladesh, Bhutan, Burkina Faso, Canada, Chad, Colombia, Costa Rica, Cuba, Egypt, Estonia, Honduras, Iceland, India, Indonesia, Iran (Islamic Republic of), Ireland, Jordan, Kazakhstan, Kyrgyzstan, Lebanon, Liberia, Libya, Liechtenstein, Maldives, Monaco, Morocco, Myanmar, Netherlands, Pakistan, Palau, Peru, Qatar, Republic of Moldova, Romania, Serbia, Singapore, Sri Lanka, Sudan, Thailand, the former Yugoslav Republic of Macedonia, Tunisia, Uzbekistan and Venezuela (Bolivarian Republic of) 18-05856 ii 160418 Please recycle mi ee A AA ae",04/12/2018,2018_1482632,"Venezuela, Bolivarian Republic of","* In order for the General Assembly to take action on the present proposal, it will be necessary to reopen consideration of agenda item 11.",yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Algeria,* Angola, Bolivia (Plurinational State of),* Chile, China, Cuba, Ecuador, Egypt, Eritrea,* Haiti,* Honduras,* Mexico, Paraguay,* Peru, Spain, Syrian Arab Republic,* Venezuela (Bolivarian Republic of), State of Palestine:*",N/A,37/.... Mandate of the Special Rapporteur in the field of cultural rights,"The Human Rights Council, Guided by the purposes and principles of the Charter of the United Nations, Recalling the Universal Declaration of Human Rights, the International Covenant on Economic, Social and Cultural Rights, the International Covenant on Civil and Political Rights, the Vienna Declaration and Programme of Action and all other relevant human rights instruments, Recalling also all relevant resolutions of the General Assembly, the Commission on Human Rights and the Human Rights Council, the most recent being Council resolution 34/2 of 23 March 2017, Noting the declarations within the United Nations system on cultural diversity and international cultural cooperation, in particular the Declaration of the Principles of International Cultural Cooperation and the Universal Declaration on Cultural Diversity, adopted by the General Conference of the United Nations Educational, Scientific and Cultural Organization in 1966 and 2001, respectively, Recalling its resolutions 5/1, on institution-building of the Human Rights Council, and 5/2, on the Code of Conduct for Special Procedures Mandate Holders of the Council, of 18 June 2007, and stressing that all mandate holders shall discharge their duties in accordance with those resolutions and annexes thereto, Welcoming the increasing number of States parties to the Convention on the Protection and Promotion of the Diversity of Cultural Expressions, adopted by the General Conference of the United Nations Educational, Scientific and Cultural Organization on 20 October 2005 and that entered into force on 18 March 2007, Convinced that international cooperation in promoting and encouraging respect for human rights and fundamental freedoms for all should be based on an understanding of the economic, social and cultural specificities of each country and the full realization and GE.18-04138(E) Please recycle eS A/HRC/37/L.23 recognition of the universality of all human rights and the principles of freedom, justice, equality and non-discrimination, Recognizing that cultural diversity and the pursuit of cultural development by all peoples and nations are a source of mutual enrichment for the cultural life of humankind, Determined to treat human rights globally in a fair and equal manner, on the same footing and with the same emphasis, 1. Reaffirms that cultural rights are an integral part of human rights, which are universal, indivisible, interrelated and interdependent; 2. Recognizes the right of everyone to take part in cultural life and to enjoy the benefits of scientific progress and its applications; 3. Reaffirms that, while the significance of national and regional particularities and various historical, cultural and religious backgrounds must be borne in mind, it is the duty of States, regardless of their political, economic and cultural systems, to promote and protect all human rights and fundamental freedoms; 4. Recalls that, as expressed in the Universal Declaration on Cultural Diversity, no one may invoke cultural diversity to infringe upon human rights guaranteed by international law, nor to limit their scope; 5. Reaffirms that States have the responsibility to promote and protect cultural rights, and that these rights should be guaranteed for all, without discrimination; 6. Recognizes that respect for the cultural diversity and cultural rights of all enhances cultural pluralism, contributing to a wider exchange of knowledge and understanding of cultural heritage and background, advancing the application and enjoyment of human rights throughout the world and fostering stable, friendly relations among peoples and nations worldwide; 7. Also recognizes that respect for cultural rights is essential for development, peace and the eradication of poverty, building social cohesion and the promotion of mutual respect, tolerance and understanding between individuals and groups, in all their diversity; 8. Emphasizes that the universal promotion and protection of human rights, including cultural rights, and respect for cultural diversity should reinforce each other; 9. Welcomes the work and contributions of the Special Rapporteur in the field of cultural rights, and takes note with appreciation of her latest report submitted to the Human Rights Council;! 10. Decides to renew, for a period of three years, the mandate of the Special Rapporteur in the field of cultural rights, to enable the mandate holder to continue to work in accordance with the mandate established by the Human Rights Council in its resolution 19/6; 11. Calls upon all Governments to cooperate with and to assist the Special Rapporteur in the discharge of the mandate, to provide the mandate holder with all the necessary information requested by her and to give serious consideration to responding favourably to the requests of the mandate holder to visit their countries in order to enable her to fulfil her duties effectively; 12. Requests the United High Commissioner for Human Rights to provide all the human and financial resources necessary for the effective fulfilment of the mandate by the Special Rapporteur; 13. Requests the Special Rapporteur to report regularly to the Human Rights Council and the General Assembly in accordance with their respective programmes of work; ' A/ARC/37/55. A/HRC/37/L.23 14. Also requests the Special Rapporteur, within the scope of her mandate, to participate in relevant international forums related to the implementation of the 2030 Agenda for Sustainable Development, and to contribute to its implementation, including by providing advice to States, international organizations, civil society and other stakeholders on the effective respect, protection and fulfilment of cultural rights in the implementation of the 2030 Agenda; 15. Decides to continue its consideration of this matter under the same agenda item in accordance with its programme of work.",03/16/2018,2018_1483933,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council. 80413 8,yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Cuba, Egypt, Pakistan, Philippines, Russian Federation,* Saudi Arabia, South Africa, Venezuela (Bolivarian Republic of)",N/A,37/... Contribution to the implementation of the joint commitment to effectively addressing and countering the world drug problem with regard to human rights,"After the fourth preambular paragraph, insert a new paragraph reading Underscoring that the three main international drug control conventions of 1961, 1971 and 1988, and other relevant international instruments constitute the cornerstone of the international drug control system, and reaffirming the targets and goals of the Political Declaration and Plan of Action on International Cooperation towards an Integrated and Balanced Strategy to Counter the World Drug Problem of 2009, and also the Joint Ministerial Statement of the 2014 high-level review of the implementation by Member States of the Political Declaration and Plan of Action, GE.18-04396(E) 1804396 Please reeyele ee",03/21/2018,2018_1483940,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council. *,yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Cuba, Egypt, Pakistan, Philippines, Russian Federation,* South Africa, Venezuela (Bolivarian Republic of)",N/A,37/... Contribution to the implementation of the joint commitment to effectively addressing and countering the world drug problem with regard to human rights,"1. Ninth preambular paragraph Delete the paragraph. 2. Eleventh preambular paragraph The paragraph should read Considering that the General Assembly has reaffirmed the need to strengthen cooperation between the United Nations Office on Drugs and Crime and other United Nations entities, within their respective mandates, in their efforts to support Member States in the implementation of international drug control treaties in accordance with applicable human rights obligations and to promote protection of and respect for human rights and the dignity of all individuals in the context of drug programmes, strategies and policies, GE.18-04397(E) 1804397 Please reeyele ee",03/21/2018,2018_1483943,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council. * *,yes
2018,General Assembly,Commission On Human Rights,Thirty-seventh session,3,"Promotion and protection of all human rights, civil, political, economic, social and cultural rights, including the right to development","Cuba, Egypt, Pakistan, Philippines, Russian Federation,* Saudi Arabia, South Africa, United Arab Emirates, Venezuela (Bolivarian Republic of)",N/A,37/... Contribution to the implementation of the joint commitment to effectively addressing and countering the world drug problem with regard to human rights,"Paragraph 5 should read 5. Encourages the United Nations High Commissioner for Human Rights and relevant international human rights mechanisms to continue, within their respective mandates and through the appropriate established channels with the Commission on Narcotic Drugs, their contribution to addressing the human rights implications of the world drug problem; GE.18-04399(E) Please recycle eS",03/21/2018,2018_1483945,"Venezuela, Bolivarian Republic of",* State not a member of the Human Rights Council. *1804399 %,yes
